favorite_count,hashtag,link,retweet_count,tweet
0,@barbijaputa,https://twitter.com/ChemistredPuck/status/1043517480386408448,0,Os interesa @libreriasdezgz  @LibreFeminista @Portadoresuenos @madeinzaragoza @CienciaGob @CSICdivulga @JotDownSpain @etopia_kids @PaniniComicsEsp @ZGZBibliotecas @EOVeoBares @Barbijaputa @oletuslibros @cbamadrid @museoreinasofia @CNIOandTheCity @VeguetaEd @mercedes_dibuja
0,@barbijaputa,https://twitter.com/Albertopositor/status/1043502518666444800,0,"@Zorropatriota @protestona1 @_okdario @RubenSanchezTW Pues @iescolar es @barbijaputa 
El travestismo tuitero está de moda...  XD"
2,@barbijaputa,https://twitter.com/juanwohl/status/1043431833382387713,6,Asesinada. En Úbeda. 2 hijos. #NiUnaMenos @ahorapodemos @PSOE @PPopular @CiudadanosCs @Equo @ManuelaCarmena @AdaColau @carolacaracola5 @FeminismosMad @__CarmenLopez @LaFallaras @pardodevera @rosamariaartal @PilarHLuc @Zurine3 @JuliaBayo1 @protestona1 @Barbijaputa @rakeld12341234
1,@barbijaputa,https://twitter.com/PepitillaRebeld/status/1043429155298332672,0,"Que digo yo, cuando vuelve Radiojaputa? @Barbijaputa tengo mono! 🐒"
1,@barbijaputa,https://twitter.com/LourdesEstrel17/status/1043391317617922048,0,"@l_chaguaceda @henarconh @NuriaCSopena @NuriaVarela @Barbijaputa @LeticiaDolera @Miguel__Lorente @IrantzuVarela @anaisbernal @AnaisVivas ¿El artículo? No puedo definir lo que he leido. Contenido como forma.
Lamentable, muy lamentable que eso esté escrito en un medio de comunicación y por profesionales.
(Demasiados fallos)"
0,@barbijaputa,https://twitter.com/JCustardoy/status/1043388007062089728,0,@Jalbella @maildelviernes @Alvisepf @Barbijaputa Límites a la hora de hacer gilipolleces...
0,@barbijaputa,https://twitter.com/mm_ms/status/1043259478714535937,0,"OPINIÓN | ""Un maltratador, dé o no golpes, no puede ser un buen padre"", por @Barbijaputa https://t.co/Y1Pzo7pgrw via @eldiarioes"
0,@barbijaputa,https://twitter.com/PomboDuquenuken/status/1043247268474892288,1,"https://t.co/2yaREV0kKD

@LeticiaDolera @Barbijaputa 
@MagdalenaProust 

Podedes compartir por favor??
É un proxecto de fin de curso do Ciclo Superior de audiovisuales dunha prima miña de 19 anos!!

Espero que vos guste!!
Graciñas!!"
0,@barbijaputa,https://twitter.com/amaiamartin81/status/1043218810285768709,0,"OPINIÓN | Parecen mujeres, por Barbijaputa, @Barbijaputa https://t.co/ZoBR86ircc vía @eldiarioes"
3,@barbijaputa,https://twitter.com/RecordaNorte/status/1043184920414355458,0,@l_chaguaceda @henarconh @NuriaCSopena @NuriaVarela @Barbijaputa @LeticiaDolera @Miguel__Lorente @IrantzuVarela @anaisbernal @AnaisVivas Que vergüenza de artículo 😒
0,@barbijaputa,https://twitter.com/Marecica/status/1043184482646454272,0,"@Barbijaputa Te echamos de menos, querida. Cuídate mucho y vuelve pronto. Mil besos."
0,@barbijaputa,https://twitter.com/nuno99971271/status/1043166300112150528,0,"@QuirogaTotal @TowandaRebels @vmm7773 @BeatrizRanea @Barbijaputa @srtabebi @elisabeni @NuriaCSopena @LaFallaras @cielikolindo @LibrsyCombativs @pilaraguilarca @carmencalvo_ @carlotaeramirez @APRAMP @TFeminista_ @TradxAbolicion @TeresaRodr_ @MagdalenaProust @_ayme @LozanoMabel @marinamarroqui @martaflich DA IGUAL LAS FUENTES O EL MODELO , LA REALIDAD ES QUE LA PROSTITUCION NO ES TRABAJO SON VIOLACIONES POR DINERO ,  LUEGO EL SINDICATO OTRAS Y ANELA(CLUBS DE ALTERNE) SON ILEGALES Y NULOS DE PLENO DERECHO"
9,@barbijaputa,https://twitter.com/lila_tresmil/status/1043151692362080256,0,@l_chaguaceda @henarconh @NuriaCSopena @NuriaVarela @Barbijaputa @LeticiaDolera @Miguel__Lorente @IrantzuVarela @anaisbernal @AnaisVivas Nunca les responsabilizan a ellos por sus actos. Siempre culpan a la mujer por todo.
2,@barbijaputa,https://twitter.com/recomtogadaraya/status/1043141186570145793,0,"@bvbrumbeck @TangoMartin21 @Barbijaputa Uy, me quema en pira pública ese grupo de marketing"
2,@barbijaputa,https://twitter.com/bvbrumbeck/status/1043140893895618560,0,@TangoMartin21 @recomtogadaraya Nah! Llamamos a @barbijaputa y te desheteropatriarcaliza en un plis plas
1,@barbijaputa,https://twitter.com/sagubia/status/1043105491918958593,1,@jelenuru @OfficialJK3 @LFjader @Barbijaputa @Locarconio @FemNosotras @JessicaFillol @_ayme No podemos esperar a que la respuesta a esta necesidad imperiosa venga de las instituciones. Pondrán tiritas y se quedarán en posturas moderadas. Necesitamos un plan integral que abarque varias leyes y reglamentos.
2,@barbijaputa,https://twitter.com/jelenuru/status/1043104179097612291,1,"@sagubia @OfficialJK3 @LFjader @Barbijaputa @Locarconio @FemNosotras @JessicaFillol @_ayme Y sobre todo, formación al profesorado en todo ello! En Pais Valencià a nivel legal ya se ha aprobado alguna normativa para abordar la cuestión y debe estar en los planes de convivencia de los centros, pero no es real cuando la mentalidad docente no acompaña."
0,@barbijaputa,https://twitter.com/TenienteLlorent/status/1043104167936618503,0,@l_chaguaceda @henarconh @NuriaCSopena @NuriaVarela @Barbijaputa @LeticiaDolera @Miguel__Lorente @IrantzuVarela @anaisbernal @AnaisVivas Malditos varones blancos... https://t.co/MGZhRYbJAn
5,@barbijaputa,https://twitter.com/sagubia/status/1043097740677468161,3,"Hola feministas y colectivos diversos. 

¿Cuándo nos ponemos a exigir una ley de educación que englobe todo esto?

¿Nos sentamos ya a hablar? 

@jelenuru @OfficialJK3 @LFjader @Barbijaputa @Locarconio @FemNosotras @JessicaFillol @_ayme https://t.co/kh8vHlyPq5"
0,@barbijaputa,https://twitter.com/TontosT/status/1043096838298058752,0,"Así mismo, sería todo un honor que @Barbijaputa, debido a sus innumerables hazañas, fuese la jefa del departamento de marketing."
3,@barbijaputa,https://twitter.com/serm/status/1043090435055468544,1,"@tchova_ ""Y todo esto sin querer abrir el melón de la identidad de @barbijaputa. Saludos y arriba España"""
79,@barbijaputa,https://twitter.com/l_chaguaceda/status/1043073813636935681,57,"Su marido le echa de casa, su padre y dos hermanos asesinan a tiros a 3 familiares de su marido PERO es ella a la que originó la pelea. 

cc @henarconh @NuriaCSopena @nuriavarela @Barbijaputa @LeticiaDolera @Miguel__Lorente @IrantzuVarela @anaisbernal @AnaisVivas https://t.co/sRNcVYKOnG"
0,@barbijaputa,https://twitter.com/maildelviernes/status/1043058204492660736,0,@Jalbella @Alvisepf @Barbijaputa Buenísimo!!!
8,@barbijaputa,https://twitter.com/Jalbella/status/1043030992758296576,9,El humano no tiene límites  @maildelviernes @Alvisepf @Barbijaputa https://t.co/1rL2UQaZCe
0,@barbijaputa,https://twitter.com/Aidel26320579/status/1042984465553743872,0,"@feminicidio @Barbijaputa Cuando usemos el vibra nada de juegos que un hombre no podría hacer en la realidad, eso sería violencia hacia los hombres ..."
0,@barbijaputa,https://twitter.com/QuirogaTotal/status/1042934398012801024,0,"@TowandaRebels @vmm7773 @BeatrizRanea @Barbijaputa @srtabebi @elisabeni @NuriaCSopena @LaFallaras @cielikolindo @LibrsyCombativs @pilaraguilarca @carmencalvo_ @carlotaeramirez @APRAMP @TFeminista_ @TradxAbolicion @TeresaRodr_ @MagdalenaProust @_ayme @LozanoMabel @marinamarroqui @martaflich Resultados
88% TS contra de la criminalización cliente
63% deterioro condiciones de vida
78% baja de ingresos
42% mayor exposición violencia
38% dificultades uso condon
70% ninguna mejora o peor relación con policía
39% conocimiento programa de ""salida"""
0,@barbijaputa,https://twitter.com/QuirogaTotal/status/1042934290634428417,0,"@TowandaRebels @vmm7773 @BeatrizRanea @Barbijaputa @srtabebi @elisabeni @NuriaCSopena @LaFallaras @cielikolindo @LibrsyCombativs @pilaraguilarca @carmencalvo_ @carlotaeramirez @APRAMP @TFeminista_ @TradxAbolicion @TeresaRodr_ @MagdalenaProust @_ayme @LozanoMabel @marinamarroqui @martaflich Médicos del Mundo Francia

Qué piensan lxs trabajadorxs sexualxs de la ley de prostitución?

Investigación sobre el impacto de la ley contra el ""sistema prostitucional""

https://t.co/GoBPJPlH3U"
1,@barbijaputa,https://twitter.com/elbichoverde98/status/1042911349377048576,1,"@negro_xl @Teniente_Robles @BrujasFeminista @Barbijaputa @mujeresenred @feminicidio @locasdelcornio @feminismosenred @feministing @FEMEN_Movement @Revo_Feminista @zorrasybrujas @Eres_Una_Caca @guardiacivil @interiorgob @GC_Alicante Lo habrá visto @aracelipoblador?
Creo que no estaría de más que cogiese su ☎ y le diese un toque a alguien. https://t.co/K9ogvak59a"
0,@barbijaputa,https://twitter.com/Mixtli__/status/1042899599701233664,0,@rafitiya @feminicidio @Barbijaputa Y qué pasa con los videojuegos? Qué hacemos con las novelas truculentas? Te parece bien que juzgaran a los que quemaron la foto del rey?
0,@barbijaputa,https://twitter.com/EllianKeneddy/status/1042892003430871041,0,"@AamalInmortal @eduardoinda El pobre  @migelino se pasa el día borrando. 
😂😂😂😂😂😂😂😂😂😂
@Androgine21 
@molacocinar1 
@Trismegista 
@SamuelS87981499 
@zzXimma 
@palmirarossini 
@yonoesio 
@Barbijaputa https://t.co/OzsC2Rye5I"
0,@barbijaputa,https://twitter.com/Lalocadel8_/status/1042879662484008960,0,"Vamos a ver, que se que combatir contra fachas/machirulos ya está @Barbijaputa pero que veo innecesario el linchamiento al que me veo sometida por aclarar las ideas a un señor que ha llamado a Maíllo traidor por llamar a Franco DICTADOR. Es de locos."
1,@barbijaputa,https://twitter.com/elbichoverde98/status/1042865563867992064,3,"@negro_xl @Teniente_Robles @BrujasFeminista @Barbijaputa @mujeresenred @feminicidio @locasdelcornio @feminismosenred @feministing @FEMEN_Movement @Revo_Feminista @zorrasybrujas @Eres_Una_Caca @guardiacivil @interiorgob Lo curioso es que no la haya visto ninguno de sus jefes de unidad o el jefe de la Comandancia de @GC_Alicante que los tiene más cerca...
La verdad, no sé no sé.... https://t.co/FbYo8DtMOK"
0,@barbijaputa,https://twitter.com/Luigifernandor/status/1042865368539299840,0,"@DillanaJesus @Martaruz9 @Barbijaputa @eldiarioes @s No fue manipulación ni nada. Malinterpretación quizá, pero por sobretodo fue cuestionario. Al que al finalizar fuerte y débil. Inútil o útil salieron a relucir, pero como quieras."
